Hospital,Hospital type,Control type,Total cost of charity care,HVBP payment adjustment amount,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Fiscal Year End Date,"ADJUSTED SALARIES, Subtotal Salaries",NUMBER OF BEDS: Adults & Pediatrics,"Donations, Land Improvements",Total Liabilities,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Salaries,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),IPPS Payment amount (unadjusted),REIMBURSEMENT SETTLEMENT: Interim payments,Net Revenue from Medicaid,Total Bad Debt expense,BALANCE SHEET: Total Assets (G_C1THRU4_36),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),BED DAYS: Total Hospital,Total Costs,NUMBER OF BEDS: ICU,Cost of Uncompensated Care,Cost To Charge Ratio,Number of Interns & Residents,Fiscal Year Begin Date,BALANCE SHEET: Inventory (G_C1THRU4_7),FTE Employees on Payroll,REIMBURSEMENT SETTLEMENT: Subtotal,Total Inpatient Days,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),IPPS Interim payment,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),HAC reduction adjustment amount,NUMBER OF BEDS: Total Hospital,State,Total discharges,Report_Period_Begin_Yr,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
A.G. HOLLEY STATE HOSPITAL (102000),General Long Term,Governmental-State,,,443.0,1.0,2011-06-30,,100.0,,11600664.0,5554148.0,,11600664.0,7404989.0,-5787979.0,,8801.0,,,11600664.0,,36500.0,11770055.0,,,,160.0,2010-07-01 00:00:00,,,7441.0,12659.0,,322553.0,,,,,7983501.0,10842458.0,,,100.0,FL,27.0,2010,0.0,,0.0,-1.042100246518458,-6046516.0,-1.0886487000346408,0.6881934516851794,0.0,,0.0,inf,1.0,0.0,,0.0,0.47877845612975256,inf,govt
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,,1460.0,2.0,2011-09-30,,19.0,,12623663.0,29453196.0,,3518632.0,12469298.0,447137.0,,2318923.0,2268050.0,5700820.0,35745036.0,1424787.0,9125.0,22846155.0,6.0,2646374.0,0.497588,179.7,2010-10-01 00:00:00,542870.0,,1809665.0,2640.0,,1948979.0,398324.0,202247.0,,4973856.0,7546881.0,45913823.0,9293602.0,,25.0,SC,723.0,2010,23121373.0,2474931.059328,1424787.0,0.015181272687690667,-378086.0,-0.012836841203922318,2.1448338445168464,3.0461807316025094,1.9330705797025662,0.4049264032157952,0.5459737620252915,0.3531584917133669,0.6468415082866331,3.943756841164479,23121373.0,0.8239800345983705,3.1691905893968775,govt
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,1837192.0,,14665.0,1.0,2011-08-31,35450858.0,144.0,,100073768.0,129751663.0,,95263431.0,35138664.0,9560432.0,28730520.0,7975815.0,7982090.0,13765947.0,126926424.0,-186118.0,65700.0,89569526.0,36.0,3552850.0,0.127401,642.52,2010-09-01 00:00:00,3265712.0,,7937067.0,31985.0,,5205579.0,,460621.0,26279358.0,79336944.0,22917870.0,703052492.0,26415886.0,,180.0,TX,6292.0,2010,26852656.0,10107606.002543999,0.0,0.0736825392365106,8768480.0,0.06757894116547855,0.24057363627812228,0.2772930359814565,0.20145754565568819,0.0,3.726773545231429,0.7884391984446044,0.21156080155539558,,26852656.0,1.022258871801194,4.9118800330982655,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2004944.0,,50250.0,1.0,2011-06-30,198828029.0,488.0,,475345000.0,678113450.0,,77976000.0,268286490.0,35110908.0,115020504.0,22321459.0,12118426.0,20860479.0,701815000.0,48772732.0,209537.0,487790918.0,23.0,4975462.0,0.1438,3773.93,2010-07-01 00:00:00,3071000.0,159.75,22375319.0,163887.0,,53184959.0,14969532.0,3656000.0,105485385.0,115015827.0,159862000.0,3392137940.0,121648560.0,,574.0,PA,39847.0,2010,226470000.0,16539275.922600001,48772732.0,0.05177733607849837,-8728744.0,-0.012872099793920915,2.0501436339386476,2.1855608392325845,1.9638734995383196,0.6254838924797373,2.0989314257959113,0.6773081225109181,0.3226918774890819,2.9697798835661664,226470000.0,0.9662282082885091,5.574364793138529,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,970934.0,,2524.0,2.0,2011-09-30,,25.0,,47185366.0,35945230.0,,4603557.0,13085777.0,107693.0,,5282925.0,1885150.0,1547119.0,78531386.0,148417.0,9125.0,32461158.0,,1472610.0,0.490667,253.65,2010-10-01 00:00:00,438825.0,,5003504.0,4393.0,6050939.0,3495028.0,1540134.0,189698.0,,9833989.0,15206136.0,66157243.0,6366154.0,,25.0,IL,1046.0,2010,31346020.0,4825213.880663,6199356.0,0.002996030349506736,-1532224.0,-0.04262662945820628,3.303127559841227,2.7295219761588703,3.1665976982581077,0.03223963556875694,1.5053064471980813,0.6008472332323282,0.3991527667676717,1.2744371593640553,31346020.0,0.4577180135341047,5.646302304342622,non-profit
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,,1506.0,2.0,2011-09-30,3444516.0,25.0,,536853.0,8021390.0,,536853.0,3655154.0,1222062.0,,1062502.0,2259427.0,1746510.0,22321620.0,17889855.0,9125.0,9505296.0,,1210107.0,0.696042,96.04,2010-10-01 00:00:00,300978.0,,1157786.0,2022.0,10138.0,588658.0,1908.0,51261.0,,2117225.0,20341982.0,13656213.0,3602649.0,,25.0,LA,505.0,2010,21784767.0,1473677.5234500002,17899993.0,0.15235040310968548,-2314913.0,-0.28859250080098336,37.8911582872779,40.0531281374976,37.23504013202869,33.32356343356561,0.024643504334932755,0.02405080814026939,0.9759491918597306,-904.7458071278826,21784767.0,0.3593551901698891,2.226525537181113,govt
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,,4347.0,1.0,2011-09-24,,68.0,,33442554.0,47568925.0,,9229007.0,25037674.0,2547713.0,,1096530.0,,,41514896.0,4523694.0,26250.0,36936416.0,,-57915.0,0.502072,461.6,2010-09-26 00:00:00,210772.0,,1096530.0,21568.0,7336996.0,1075627.0,445604.0,1015820.0,,,15731484.0,73567996.0,8892407.0,,68.0,ME,1710.0,2010,8072342.0,,11860690.0,0.05355834717728013,-94703.0,-0.00199085852791502,1.7045695165254506,2.2486814670310684,1.5716633436294933,0.49016042570993823,4.142856434972651,0.8055555287914006,0.19444447120859945,2.201335715119254,8072342.0,1.1458278734457146,5.34938684205525,non-profit
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,,3467.0,2.0,2011-06-30,3505675.0,25.0,,881110.0,11820542.0,,881110.0,3525018.0,256442.0,,1821056.0,1076326.0,981449.0,7502943.0,1304846.0,9125.0,10860056.0,,233642.0,0.726471,93.22,2010-07-01 00:00:00,222720.0,,1850802.0,3652.0,,117023.0,,53004.0,,1235050.0,3487834.0,14949062.0,1285776.0,,25.0,LA,121.0,2010,6621833.0,897228.00855,1304846.0,0.02169460588186227,-645956.0,-0.05464690197792961,3.9584546764876123,2.9401800002269862,3.645526665229086,1.48091157744209,0.13306134419276355,0.11743525174055035,0.8825647482594496,,6621833.0,1.5754540584941137,9.193313609835617,govt
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,,3571.0,1.0,2011-11-30,,54.0,,5332289.0,10479211.0,,5332289.0,5114815.0,170496.0,,270272.0,,,1435207.0,-86959.0,19710.0,8192165.0,,,,106.39,2010-12-01 00:00:00,29951.0,,270273.0,15308.0,,126391.0,,61504.0,,,922047.0,20777781.0,917551.0,,54.0,LA,2083.0,2010,-3897082.0,,0.0,0.016269927192037646,-38724.0,-0.0036953163744865907,0.17291767194163707,0.17207450683937048,0.15576650102798253,0.0,-1.368277341867582,3.7153448944995393,-2.7153448944995393,,-3897082.0,7.301532810249672,11.42084854138898,for-profit
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental-Other,,,574.0,1.0,2011-09-30,,7.0,,,,,,1.0,-2.0,,,,,,,2555.0,,,,,,2010-10-01 00:00:00,,,,1305.0,,,,,,,,1.0,,,7.0,NM,263.0,2010,,,0.0,,,,,,,,,,,,,,,govt
