PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-17,30-SEP-18,As Submitted,265375441,859339199,859783318
010005,01-OCT-17,30-SEP-18,As Submitted,123033600,114242849,328186792
010006,01-JUL-18,30-JUN-19,As Submitted,137908848,474454273,430728745
010007,01-OCT-17,30-SEP-18,As Submitted,16512867,17530683,32314682
010008,01-JAN-18,31-DEC-18,As Submitted,10342658,13511264,19339350
010011,01-JUL-18,30-JUN-19,As Submitted,194481278,651090488,544293841
010012,01-APR-18,31-MAR-19,As Submitted,47462426,174273137,282569026
010016,01-JAN-18,31-DEC-18,As Submitted,144658654,732195590,528035513
010018,01-OCT-17,30-SEP-18,As Submitted,38597734,2825285,156210353
010019,01-OCT-17,30-SEP-18,As Submitted,88152953,160351044,301211991
010021,01-OCT-17,30-SEP-18,As Submitted,25620525,21721546,64419185
010022,01-APR-18,31-MAY-18,As Submitted,2118578,2786030,11826439
010022,01-JUN-18,30-JUN-19,As Submitted,20633467,15015017,66656652
010023,01-JUL-18,30-JUN-19,As Submitted,417169578,720532137,784522978
010024,01-JAN-18,31-DEC-18,As Submitted,180869001,633445857,455958588
010029,01-OCT-17,30-SEP-18,Amended,297530108,318505106,454027795
010032,01-OCT-17,13-NOV-17,As Submitted,1298111,305911,1815840
010032,14-NOV-17,30-JUN-18,As Submitted,7529146,2036893,14570702
010032,01-JUL-18,08-JAN-19,As Submitted,7759009,1517517,15614249
010033,01-OCT-17,30-SEP-18,As Submitted,1376111839,4157337346,2825639000
010034,01-OCT-17,30-SEP-18,As Submitted,15001406,11108588,23956197
010035,01-JUL-18,30-JUN-19,As Submitted,105446227,218858137,306720823
010036,01-APR-18,31-MAR-19,As Submitted,33134396,103516146,164826631
010038,01-OCT-17,30-SEP-18,As Submitted,34412859,165321773,296790273
010039,01-JUL-18,30-JUN-19,As Submitted,906115713,2653502620,2460057652
010040,01-OCT-17,30-SEP-18,As Submitted,171270907,1402172660,1146873302
010044,01-OCT-17,30-SEP-18,As Submitted,22208983,23132211,44534653
010045,01-OCT-17,30-SEP-18,As Submitted,25242273,25966449,50190350
010046,01-JAN-18,31-DEC-18,Amended,77959859,459168055,409691935
010047,01-JAN-18,31-DEC-18,As Submitted,5789093,2442824,7557103
010049,01-JAN-18,31-DEC-18,As Submitted,43731725,170642341,445859430
010051,01-OCT-17,30-SEP-18,As Submitted,8004570,4790661,5536614
010052,01-JAN-18,31-DEC-18,As Submitted,12009032,3381902,15587299
010055,01-OCT-17,30-SEP-18,As Submitted,173329602,895208858,1155808441
010056,01-JUL-18,30-JUN-19,As Submitted,382029445,950724222,1277114409
010058,01-OCT-17,30-SEP-18,As Submitted,18258004,13003705,16258777
010059,01-OCT-17,30-SEP-18,As Submitted,12662760,6037972,26920182
010061,01-OCT-17,30-SEP-18,As Submitted,46096262,42591607,78126189
010062,01-OCT-17,30-SEP-18,As Submitted,20989394,22335752,21983898
010065,01-JAN-18,31-DEC-18,As Submitted,56818943,37487424,170294104
010069,01-OCT-17,30-NOV-17,As Submitted,2343940,4170369,6744361
010069,01-DEC-17,31-DEC-18,As Submitted,15620730,23995710,41998933
010073,01-OCT-17,30-SEP-18,As Submitted,16134212,14563472,17650514
010078,01-OCT-17,30-SEP-18,As Submitted,155623271,596208840,706491787
010079,01-JUL-18,30-JUN-19,As Submitted,65852209,92549511,195365067
010083,01-OCT-17,30-SEP-18,As Submitted,89740056,468140236,691976057
010085,01-APR-18,31-MAR-19,Amended,115607876,188652438,276886927
010086,01-JAN-18,31-DEC-18,As Submitted,17629746,27916610,74490383
010087,01-OCT-17,30-SEP-18,As Submitted,183066869,237095244,215531189
010089,01-JAN-18,31-DEC-18,As Submitted,80180322,353104374,444459758
010090,01-JUL-18,30-JUN-19,As Submitted,207636404,396904337,435396121
010091,01-JUL-18,30-JUN-19,As Submitted,12106638,11221319,37548431
010092,01-OCT-17,30-SEP-18,As Submitted,446002655,942178885,899083355
010095,01-OCT-17,30-SEP-18,As Submitted,8263005,3549619,13122933
010097,01-JAN-18,31-DEC-18,As Submitted,12329610,5289677,31016637
010099,01-OCT-17,30-SEP-18,As Submitted,23414021,16226920,57950979
010100,01-APR-18,31-MAR-19,As Submitted,159572155,255237598,350412359
010101,01-JAN-18,31-DEC-18,As Submitted,31151306,79468501,172500031
010102,01-OCT-17,30-SEP-18,As Submitted,4412475,686467,6991122
010103,01-JAN-18,31-DEC-18,As Submitted,231165096,1286308189,752583948
010104,01-JUL-18,30-JUN-19,As Submitted,364026534,2532280375,2321168835
010108,01-JUL-18,30-JUN-19,As Submitted,43635833,65442285,132518824
010109,01-OCT-17,30-SEP-18,As Submitted,13385301,7579249,22782378
010110,01-JAN-18,31-DEC-18,As Submitted,12906209,26173829,13250393
010112,01-OCT-17,30-SEP-18,As Submitted,22495115,18414364,38865185
010113,01-APR-18,31-MAR-19,As Submitted,381712966,811417938,439489663
010114,01-JAN-18,30-SEP-18,As Submitted,72188558,190935888,242735948
010118,01-JUL-18,30-JUN-19,As Submitted,47663415,226676661,335248432
010120,01-OCT-17,30-SEP-18,As Submitted,21205134,12304597,68440024
010125,01-JAN-18,31-DEC-18,As Submitted,13215638,26454869,24649105
010126,01-JAN-18,31-MAR-18,As Submitted,6542174,11270701,23779050
010126,01-APR-18,31-MAR-19,As Submitted,25160127,47336433,95967259
010128,01-JAN-18,31-DEC-18,As Submitted,10986982,6210759,23006479
010129,01-APR-18,31-MAR-19,As Submitted,33351043,30002673,59753684
010130,01-JUL-18,30-JUN-19,As Submitted,29538889,45707185,200715666
010131,01-JUL-18,30-JUN-19,As Submitted,191876938,1242851402,1428266848
010138,01-JAN-18,31-DEC-18,As Submitted,2775821,6099701,3068975
010139,01-JAN-18,31-DEC-18,As Submitted,326152746,1916381349,1420510512
010144,01-JAN-18,31-DEC-18,As Submitted,177033551,358139229,330910716
010146,01-OCT-17,30-JUN-18,As Submitted,9697392,22421593,36821546
010148,01-JAN-18,31-DEC-18,As Submitted,12101515,14165851,20483433
010149,01-JUL-18,30-JUN-19,As Submitted,121286343,283400497,263568700
010150,01-NOV-17,30-SEP-18,As Submitted,20431122,46096361,75281369
010157,01-APR-18,31-MAR-19,As Submitted,27666689,58078915,53468126
010158,01-JAN-18,31-DEC-18,As Submitted,21466550,53422475,67901110
010164,01-AUG-18,31-JUL-19,As Submitted,59360988,93025768,215270770
010168,01-JAN-18,31-DEC-18,As Submitted,50357776,115084053,66779689
010169,01-OCT-17,30-SEP-18,As Submitted,17143306,20594958,56162597
010173,01-JUL-18,30-JUN-19,As Submitted,24106409,14072144,137267504
011300,01-OCT-17,30-SEP-18,As Submitted,12200653,9138988,8721672
011302,01-OCT-17,30-SEP-18,As Submitted,,6545341,19091291
011304,01-JAN-18,31-DEC-18,As Submitted,,5656762,25156850
011305,01-JUL-18,30-JUN-19,As Submitted,,16413491,76907141
012006,01-APR-18,31-MAR-19,As Submitted,14433505,30109514,8768
012007,01-SEP-18,31-AUG-19,As Submitted,7973581,20542354,
012008,01-SEP-18,31-AUG-19,As Submitted,15396224,74818411,
012009,01-SEP-18,31-AUG-19,As Submitted,8893114,25296564,
012010,01-SEP-18,31-AUG-19,As Submitted,9916952,33102269,
012011,01-SEP-18,31-AUG-19,As Submitted,8590016,28608043,
012012,01-SEP-18,31-AUG-19,As Submitted,7686932,28805688,
012014,01-MAY-18,30-APR-19,As Submitted,7765133,21132650,
013025,01-JAN-18,31-DEC-18,Amended,32559484,59416564,2017625
013028,01-JAN-18,31-DEC-18,Amended,23594522,44030209,963214
013029,01-JUN-18,31-MAY-19,As Submitted,22704167,55658903,
013030,01-JAN-18,31-DEC-18,Amended,17458383,34735715,209452
013031,25-MAY-18,30-JUN-19,As Submitted,12014268,18732507,
013032,01-JAN-18,31-DEC-18,As Submitted,13984483,25538560,
013033,01-JUN-18,31-MAY-19,As Submitted,19443950,41022030,758738
013300,01-JAN-18,31-DEC-18,As Submitted,,1099705704,534103799
013301,01-OCT-17,30-SEP-18,Amended,,172359364,62169961
014000,01-JUL-18,30-JUN-19,As Submitted,20331849,56626789,
014006,01-JAN-18,31-DEC-18,As Submitted,5597191,10927323,
014007,01-JUL-18,30-JUN-19,As Submitted,28081746,32530824,
014012,01-OCT-17,30-SEP-18,As Submitted,25399151,22033084,23764
014016,01-JUL-18,30-JUN-19,As Submitted,5240605,9246965,
014017,01-OCT-17,30-SEP-18,As Submitted,9613399,2812285,
014018,01-JAN-18,31-DEC-18,As Submitted,3117535,3367436,
020001,01-JAN-18,31-DEC-18,As Submitted,522362223,1620217046,804044391
020006,01-JAN-18,31-DEC-18,As Submitted,129829527,350744610,389791219
020008,01-JUL-18,30-JUN-19,As Submitted,86710635,63091693,95259993
020012,01-JAN-18,31-DEC-18,As Submitted,221614032,216826705,301881269
020017,01-JAN-18,31-DEC-18,Amended,192426573,785642267,350119201
020018,01-OCT-17,30-SEP-18,As Submitted,75959770,104223,776240
020024,01-JUL-18,30-JUN-19,As Submitted,139347374,142367312,205863165
020026,01-OCT-17,30-SEP-18,As Submitted,394358900,729505,3977694
021301,01-JAN-18,31-DEC-18,As Submitted,16801104,8595277,10252478
021302,01-JAN-18,31-DEC-18,As Submitted,22361147,19773168,11606056
021303,01-JUL-18,30-JUN-19,As Submitted,23441739,11029233,15724743
021304,01-JUL-18,30-JUN-19,As Submitted,14605696,7030943,8701085
021305,01-JUL-18,31-OCT-18,As Submitted,4032540,1515610,2233788
021306,01-JAN-18,31-DEC-18,As Submitted,39264088,26014986,47863155
021307,01-JAN-18,31-DEC-18,As Submitted,8996947,7476158,2852141
021308,01-OCT-17,30-SEP-18,Amended,69676946,31863911,51400617
021309,01-OCT-17,30-SEP-18,As Submitted,,11208,122529
021310,01-OCT-17,30-SEP-18,As Submitted,,14480,181674
021311,01-JUL-18,30-JUN-19,As Submitted,75748641,43619275,73992199
021312,01-OCT-17,30-SEP-18,As Submitted,,5115,96730
021313,01-JUL-18,30-JUN-19,As Submitted,63220875,35124848,67006479
021314,01-OCT-17,30-SEP-18,As Submitted,,54600,901702
022001,01-JAN-18,31-DEC-18,As Submitted,34358271,73640168,
024002,01-JUL-18,30-JUN-19,As Submitted,38982119,21874421,316
030002,01-JAN-18,31-DEC-18,As Submitted,769660596,2650471475,1169826007
030006,01-JAN-18,31-DEC-18,As Submitted,503914478,1478316376,743900981
030007,01-JUL-18,30-JUN-19,As Submitted,115498363,300533100,305830742
030010,01-OCT-17,30-SEP-18,As Submitted,190369466,818429614,612344075
030011,01-OCT-17,30-SEP-18,As Submitted,224484820,1068848984,632016670
030012,01-JAN-18,31-DEC-18,As Submitted,258497678,526390239,741760904
030013,01-OCT-17,30-SEP-18,As Submitted,407962311,823858478,1059618120
030014,01-JAN-18,31-DEC-18,As Submitted,350930438,1105160399,1207934268
030016,01-JAN-18,31-DEC-18,As Submitted,114918436,327487635,452675393
030022,01-JUL-18,30-JUN-19,As Submitted,427826000,1146980969,902572094
030023,01-JUL-18,30-JUN-19,As Submitted,375126504,723757208,534584422
030024,01-JUL-18,30-JUN-19,As Submitted,816204767,2652534966,1732931550
030030,01-APR-18,31-MAR-19,As Submitted,121017964,604999660,471464519
030033,01-JAN-18,22-JUL-18,Amended,21177371,31373561,103838548
030036,01-JUL-18,31-JAN-19,As Submitted,284521356,1200179107,785586676
030037,01-JUN-18,31-MAY-19,As Submitted,134972655,434623979,365360505
030038,01-JAN-18,31-DEC-18,As Submitted,292379913,1126688356,936441458
030043,01-MAY-18,30-APR-19,As Submitted,87046076,180403688,286368811
030055,01-JUL-18,30-JUN-19,Amended,223836591,559834357,803792472
030061,01-JAN-18,31-DEC-18,Amended,317470040,971515717,729029113
030062,01-JAN-18,31-DEC-18,As Submitted,120350016,171912652,427295619
030064,01-JAN-18,31-DEC-18,As Submitted,709896576,1688016470,1327120721
030065,01-JAN-18,31-DEC-18,As Submitted,603481262,2179064495,1275738992
030068,01-JAN-18,31-DEC-18,As Submitted,52486674,27768221,107146946
030069,01-SEP-18,31-AUG-19,As Submitted,150643535,551812575,627432576
030071,01-OCT-17,30-SEP-18,As Submitted,88371343,182077,1475550
030073,01-OCT-17,30-SEP-18,As Submitted,89567885,190422,1268268
030074,01-OCT-17,30-SEP-18,As Submitted,40592211,10791,323440
030077,01-OCT-17,30-SEP-18,As Submitted,48615725,15223,484044
030078,01-OCT-17,30-SEP-18,As Submitted,122553973,129336,1615744
030083,01-OCT-17,30-SEP-18,As Submitted,87877864,350295861,333460828
030084,01-OCT-17,30-SEP-18,As Submitted,91514966,90003,1205046
030085,01-OCT-17,30-SEP-18,Amended,255566737,1074889278,1207759151
030087,01-JAN-18,31-DEC-18,As Submitted,405253094,1611820447,1180169288
030088,01-JAN-18,31-DEC-18,As Submitted,251197343,951249673,648127770
030089,01-JAN-18,31-DEC-18,As Submitted,463903120,1530266543,1036597723
030092,01-JAN-18,31-DEC-18,As Submitted,237902279,1068402161,866583134
030093,01-JAN-18,31-DEC-18,As Submitted,275461355,952478671,848971991
030094,01-APR-18,31-MAR-19,As Submitted,281700266,1469492462,1066699879
030101,01-SEP-18,31-AUG-19,As Submitted,75821095,633946100,581049392
030103,01-JAN-18,31-DEC-18,As Submitted,602383157,967228186,1221227545
030105,01-JAN-18,31-DEC-18,As Submitted,115377128,522657916,378132155
030107,01-JAN-18,31-DEC-18,Amended,32308260,127458407,63957777
030108,01-JAN-18,31-DEC-18,As Submitted,43837811,88220626,58411759
030110,01-MAY-18,30-APR-19,As Submitted,179127941,1053191939,804795128
030111,01-JAN-18,31-DEC-18,As Submitted,133026568,302009856,377547980
030112,01-JAN-18,31-DEC-18,As Submitted,24796625,75623999,78754966
030113,01-OCT-17,30-SEP-18,As Submitted,47005965,52738,493493
030114,01-OCT-17,30-SEP-18,As Submitted,93934357,391680717,458746700
030115,01-JAN-18,31-DEC-18,As Submitted,277648551,1023862173,919130112
030117,01-DEC-17,30-NOV-18,As Submitted,38852241,165324782,275624167
030119,01-JUL-18,30-JUN-19,As Submitted,268001100,1006380677,822259088
030121,01-JUL-18,30-JUN-19,As Submitted,136048920,469973482,397388446
030122,01-JAN-18,31-DEC-18,As Submitted,347203469,772916917,1100449715
030123,01-JAN-18,31-DEC-18,As Submitted,119762225,533203488,353856193
030130,01-JAN-18,31-DEC-18,As Submitted,58873422,145981532,301359255
030131,01-JAN-18,31-DEC-18,As Submitted,68559061,222796271,28838139
030134,01-JAN-18,31-DEC-18,As Submitted,17116674,27053480,110779523
030136,01-JAN-18,31-DEC-18,As Submitted,85214469,14814311,628299071
