,A7_1_C1_10,A7_1_C1_8,A7_3_C15_1,A7_3_C15_3,A7_3_C9_3,A8_C2_33,A8_C2_50,A_C1_200,A_C1_30,A_C1_5,A_C2_10,A_C2_200,A_C2_30,A_C2_5,A_C2_60,A_C2_9,A_C6_200,A_C6_5,B_1_C0_1,B_1_C0_10,B_1_C0_16,B_1_C0_200,B_1_C0_30,B_1_C0_4,B_1_C0_5,B_1_C0_60,B_1_C0_9,B_1_C26_202,B_1_C26_30,B_1_C26_60,B_2_C26_202,B_2_C26_30,C_1_C3_202,C_1_C6_202,C_1_C6_30,C_1_C6_60,C_1_C8_202,D1_HOS_C1_27,D1_HOS_C1_37,D1_HOS_C1_41,D1_HOS_C1_49,D3_HOS_C2_30,S2_1_C1_1,S2_1_C1_2,S2_1_C1_21,S2_1_C1_27,S2_1_C1_3,S2_1_C2_2,S2_1_C3_2,S2_1_C3_3,S2_1_C4_2,S2_1_C4_3,S2_1_C7_3,S3_1_C10_14,S3_1_C10_27,S3_1_C2_1,S3_1_C2_14,S3_1_C2_27,S3_1_C2_7,S3_1_C3_1,S3_1_C3_14,S3_1_C3_7,S3_1_C6_1,S3_1_C6_14,S3_1_C6_7,S3_1_C8_1,S3_1_C8_14,S3_1_C8_7,FI_CREAT_DT,FI_NUM,FY_BGN_DT,FY_END_DT,PRVDR_NUM,RPT_REC_NUM,UTIL_CODE,Lat,Lon,"Control type, text","Hospital type, text",Num and Name
,Total,Subtotal,New Cap Related Csts Bldg & Fixtures,Total,Total,Other Adjustments (Summed),Total,Total Salaries,Adults and Pediatrics,Administrative and General,Dietary,Total Salaries,Adults and Pediatrics,Administrative and General,Laboratory,Housekeeping,Total Salaries,Administrative and General,New Capital Buildings and Fixtures,Dietary,Medical Records and Medical Rec. Library,Total,Adults and Pediatrics,Employee Benefits,Administrative and General,Laboratory,Housekeeping,Total  ,Adults and Pediatrics,Laboratory,Total  ,Adults & Pediatrics,Total,Total,Adults & Pediatrics,Laboratory,Total,net of Swing Bed Cost,net of Swing Bed and Private Room Diff,Total Program General Inpatient Routine ,Total Program Inpatient Costs,Adults and Pediatrics,Hospital Street Address,Hospital City,Type of Control of Hospital (See Table I),Urban (1) or Rural (2),Hospital Name ,Hospital State,Hospital Zip Code,Provider's actual MSA or CBSA,Hospital County,Hospital Type,Hospital Title 18 Payment System (P/T/O),Total Hospital Interns & Residents,Total Facility FTEs ,Hospital Adults & Pediatrics,Total Hospital,Total Facility,Total,Hospital Adults & Pediatrics,Total Hospital,Total Hospital,Hospital Adults & Pediatrics,Total Hospital,Total Adults & Peds,Hospital Adults & Pediatrics,Total Hospital,Total Adults & Pediatrics,Fiscal Intermediary/MAC Create Date,Fiscal Intermediary Number,Fiscal Year Begin Date ,Fiscal Year End Date ,Hospital Provider Number ,Report Record Number,Utilization Code (L/N/F),Lat,Lon,"Control type, text","Hospital type, text",Num and Name
,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,RECONCILIATION OF CAPITAL COST CENTERS,RECONCILIATION OF CAPITAL COST CENTERS,RECONCILIATION OF CAPITAL COST CENTERS,ADJUSTMENTS,ADJUSTMENTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,ALLOCATION OF NEW CAPITAL COSTS,ALLOCATION OF NEW CAPITAL COSTS,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF INPATIENT OPERATING COSTS,COMPUTATION OF INPATIENT OPERATING COSTS,COMPUTATION OF INPATIENT OPERATING COSTS,COMPUTATION OF INPATIENT OPERATING COSTS,INPATIENT ANCILLARY SERVICE COST APPORTIONMENT,,,,,,,,,,,,Total Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,NUMBER OF BEDS,NUMBER OF BEDS,NUMBER OF BEDS,NUMBER OF BEDS,BED DAYS AVAILABLE,BED DAYS AVAILABLE,BED DAYS AVAILABLE,Medicare Inpatient Days/Outpatient Visits,Medicare Inpatient Days/Outpatient Visits,Medicare Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,Lat,Lon,"Control type, text","Hospital type, text",Num and Name
,Column 1 (Beginning Balances) Total (A7_1_C1_10),Column 1 (Beginning Balances) Subtotal (A7_1_C1_8),Column 15 (Total) New Cap Related Csts Bldg & Fixtures (A7_3_C15_1),Column 15 (Total) Total (A7_3_C15_3),Column 9 (Depreciation) Total (A7_3_C9_3),Other Adjustments (Summed) (A8_C2_33),Total (A8_C2_50),Total Salaries (A_C1_200),Adults and Pediatrics (A_C1_30),Administrative and General (A_C1_5),Dietary (A_C2_10),Total Salaries (A_C2_200),Adults and Pediatrics (A_C2_30),Administrative and General (A_C2_5),Laboratory (A_C2_60),Housekeeping (A_C2_9),Total Salaries (A_C6_200),Administrative and General (A_C6_5),Net Expense for Cost Allocation New Capital Buildings and Fixtures (B_1_C0_1),Net Expense for Cost Allocation Dietary (B_1_C0_10),Net Expense for Cost Allocation Medical Records and Medical Rec. Library (B_1_C0_16),Net Expense for Cost Allocation Total (B_1_C0_200),Net Expense for Cost Allocation Adults and Pediatrics (B_1_C0_30),Net Expense for Cost Allocation Employee Benefits (B_1_C0_4),Net Expense for Cost Allocation Administrative and General (B_1_C0_5),Net Expense for Cost Allocation Laboratory (B_1_C0_60),Net Expense for Cost Allocation Housekeeping (B_1_C0_9),Total   (B_1_C26_202),Adults and Pediatrics (B_1_C26_30),Laboratory (B_1_C26_60),Total   (B_2_C26_202),TOTAL CAPITAL COSTS AFTER COST ALLOCATION Adults & Pediatrics (B_2_C26_30),Total (C_1_C3_202),Total (C_1_C6_202),Total Inpatient Charges Adults & Pediatrics (C_1_C6_30),Total Inpatient Charges Laboratory (C_1_C6_60),Total (C_1_C8_202),General Inpatient Routine Service Cost net of Swing Bed Cost (D1_HOS_C1_27),General Inpatient Routine Service Cost net of Swing Bed and Private Room Diff (D1_HOS_C1_37),Total Program General Inpatient Routine  (D1_HOS_C1_41),Total Program Inpatient Costs (D1_HOS_C1_49),Adults and Pediatrics (D3_HOS_C2_30),Hospital Street Address (S2_1_C1_1),Hospital City (S2_1_C1_2),Type of Control of Hospital (See Table I) (S2_1_C1_21),Urban (1) or Rural (2) (S2_1_C1_27),Hospital Name  (S2_1_C1_3),Hospital State (S2_1_C2_2),Hospital Zip Code (S2_1_C3_2),Provider's actual MSA or CBSA (S2_1_C3_3),Hospital County (S2_1_C4_2),Hospital Type (S2_1_C4_3),Hospital Title 18 Payment System (P/T/O) (S2_1_C7_3),Total Hospital Interns & Residents (S3_1_C10_14),Total Facility FTEs  (S3_1_C10_27),Hospital Adults & Pediatrics (S3_1_C2_1),Total Hospital (S3_1_C2_14),Total Facility (S3_1_C2_27),Total (S3_1_C2_7),Hospital Adults & Pediatrics (S3_1_C3_1),Total Hospital (S3_1_C3_14),Total Hospital (S3_1_C3_7),Hospital Adults & Pediatrics (S3_1_C6_1),Total Hospital (S3_1_C6_14),Total Adults & Peds (S3_1_C6_7),Hospital Adults & Pediatrics (S3_1_C8_1),Total Hospital (S3_1_C8_14),Total Adults & Pediatrics (S3_1_C8_7),Fiscal Intermediary/MAC Create Date (FI_CREAT_DT),Fiscal Intermediary Number (FI_NUM),Fiscal Year Begin Date  (FY_BGN_DT),Fiscal Year End Date  (FY_END_DT),Hospital Provider Number  (PRVDR_NUM),Report Record Number (RPT_REC_NUM),Utilization Code (L/N/F) (UTIL_CODE),Lat,Lon,"Control type, text","Hospital type, text",Num and Name
892,449992.0,449992.0,134153.0,158452.0,65648.0,-17399.0,-596189.0,4539397.0,3109273.0,606396.0,272350.0,3985921.0,912921.0,2022716.0,1.0,37624.0,-596189.0,604854.0,134153.0,272350.0,173286.0,7929129.0,3436524.0,914430.0,1713793.0,1.0,184028.0,7929129.0,7537253.0,1.0,158452.0,143275.0,7618768.0,18849000.0,18848980.0,10.0,19291365.0,7642189.0,7642189.0,434019.0,434019.0,1071140.0,4040 NORTH BOULEVARD,BATON ROUGE,4,1.0,BATON ROUGE BEHAVIORAL HOSPITAL,LA,70806,12940,EAST BATON ROUGE PARISH,4.0,P,95.37,95.37,47.0,47.0,47.0,47.0,17155.0,17155.0,17155.0,714.0,714.0,714.0,12572.0,12572.0,12572.0,2020-03-24 00:00:00,07001,2018-10-01 00:00:00,2019-09-30,194107,666899.0,F,30.448449,-91.147599,Proprietary,Psychiatric,BATON ROUGE BEHAVIORAL HOSPITAL (194107)
1179,335644.0,335644.0,117939.0,136567.0,50703.0,-20029.0,-687866.0,4290500.0,3096668.0,595965.0,309288.0,4302703.0,993730.0,2168530.0,1.0,38599.0,-687866.0,577338.0,117939.0,309288.0,95174.0,7905337.0,3420156.0,886314.0,1838106.0,1.0,176815.0,7905337.0,7655020.0,1.0,136567.0,123622.0,7655022.0,21888000.0,21887996.0,2.0,21888000.0,7733182.0,7733182.0,679990.0,679990.0,1924800.0,4040 NORTH BOULEVARD,BATON ROUGE,4,1.0,BATON ROUGE BEHAVIORAL HOSPITAL,LA,70806,12940,EAST BATON ROUGE PARISH,4.0,P,94.0,94.0,47.0,47.0,47.0,47.0,17155.0,17155.0,17155.0,1283.0,1283.0,1283.0,14591.0,14591.0,14591.0,2019-03-06 00:00:00,07001,2017-10-01 00:00:00,2018-09-30,194107,643783.0,F,30.448449,-91.147599,Proprietary,Psychiatric,BATON ROUGE BEHAVIORAL HOSPITAL (194107)
8572,281216.0,281216.0,124859.0,143231.0,-543933.0,-9284.0,-522328.0,3499469.0,2407000.0,526934.0,291623.0,3401197.0,560243.0,1772409.0,115853.0,33979.0,-522328.0,465777.0,124859.0,296916.0,91797.0,6378338.0,2553502.0,437752.0,1699199.0,115853.0,101492.0,6378338.0,5518878.0,158383.0,143231.0,128146.0,6098943.0,19266000.0,19266000.0,,19266000.0,5634874.0,5634874.0,908651.0,908651.0,3106800.0,4040 NORTH BOULEVARD,BATON ROUGE,4,1.0,BATON ROUGE BEHAVIORAL HOSPITAL,LA,70806,12940,EAST BATON ROUGE PARISH,4.0,P,83.93,83.93,47.0,47.0,47.0,47.0,17155.0,17155.0,17155.0,2071.0,2071.0,2071.0,12843.0,12843.0,12843.0,2019-03-14 00:00:00,07001,2016-10-01 00:00:00,2017-09-30,194107,644495.0,F,30.448449,-91.147599,Proprietary,Psychiatric,BATON ROUGE BEHAVIORAL HOSPITAL (194107)
14555,218851.0,218851.0,149583.0,158654.0,-523791.0,-7666.0,-324053.0,3398866.0,2452112.0,440906.0,263410.0,3108409.0,476827.0,1645561.0,,37581.0,-324053.0,433401.0,149583.0,287247.0,131745.0,6183222.0,2716497.0,736070.0,1161070.0,,93945.0,6183222.0,5961767.0,,158654.0,143590.0,5961767.0,18489000.0,18489000.0,,18489000.0,6039929.0,6039929.0,1563654.0,1563654.0,4786500.0,4040 NORTH BOULEVARD,BATON ROUGE,4,1.0,BATON ROUGE BEHAVIORAL HOSPITAL,LA,70806,12940,EAST BATON ROUGE PARISH,4.0,P,54.3,54.3,47.0,47.0,47.0,47.0,17202.0,17202.0,17202.0,3191.0,3191.0,3191.0,12326.0,12326.0,12326.0,2018-08-22 00:00:00,07001,2015-10-01 00:00:00,2016-09-30,194107,631781.0,F,30.448449,-91.147599,Proprietary,Psychiatric,BATON ROUGE BEHAVIORAL HOSPITAL (194107)
20235,68717.0,68717.0,92260.0,98566.0,-501280.0,-11057.0,-607461.0,3180947.0,2105911.0,449028.0,216375.0,2822403.0,626393.0,1354164.0,,26968.0,-607461.0,351340.0,92260.0,240630.0,106394.0,5395889.0,2296489.0,488510.0,1126803.0,,85362.0,5395889.0,5099036.0,,98566.0,89131.0,5099036.0,17501150.0,17501150.0,,17501150.0,5187028.0,5187028.0,1472404.0,1472404.0,4923000.0,4040 NORTH BOULEVARD,BATON ROUGE,4,1.0,BATON ROUGE BEHAVIORAL HOSPITAL,LA,70806,12940,EAST BATON ROUGE PARRISH,4.0,P,187.77,187.77,47.0,47.0,47.0,47.0,14789.0,14789.0,14789.0,3282.0,3282.0,3282.0,11562.0,11562.0,11562.0,2017-06-23 00:00:00,07001,2014-10-01 00:00:00,2015-09-30,194107,600307.0,F,30.448449,-91.147599,Proprietary,Psychiatric,BATON ROUGE BEHAVIORAL HOSPITAL (194107)
26559,35233.0,35233.0,275355.0,280809.0,-368923.0,-9630.0,-479268.0,2395067.0,1503388.0,388466.0,224392.0,2404270.0,321498.0,1307631.0,,13482.0,-479268.0,84385.0,275355.0,246482.0,74637.0,4320069.0,1640813.0,421175.0,791960.0,,57417.0,4320069.0,3972335.0,,280809.0,213275.0,3972335.0,13281630.0,13281630.0,,13281630.0,4156408.0,4156408.0,1347293.0,1347293.0,4305000.0,4040 NORTH BLVD,BATON ROUGE,4,1.0,BATON ROUGE BEHAVIORAL HOSPITAL,LA,70806,12940,EAST BATON ROUGE PARRISH,4.0,P,54.3,54.3,30.0,30.0,30.0,30.0,10950.0,10950.0,10950.0,2870.0,2870.0,2870.0,8854.0,8854.0,8854.0,2016-08-30 00:00:00,07001,2013-10-01 00:00:00,2014-09-30,194107,581193.0,F,30.448449,-91.147599,Proprietary,Psychiatric,BATON ROUGE BEHAVIORAL HOSPITAL (194107)
32513,4938.0,4938.0,49423.0,50010.0,323.0,-465.0,7471.0,291862.0,179658.0,44203.0,18891.0,276803.0,59022.0,143416.0,,1422.0,7471.0,25124.0,49423.0,18891.0,14374.0,576136.0,222161.0,61288.0,104302.0,,9941.0,576136.0,511437.0,,50010.0,37923.0,511437.0,774900.0,774900.0,,774900.0,527956.0,527956.0,157263.0,157263.0,231000.0,4040 NORTH BLVD,BATON ROUGE,4,1.0,BATON ROUGE BEHAVIORAL HOSPITAL,LA,70806,12940,EAST BATON ROUGE PARRISH,4.0,P,35.0,35.0,30.0,30.0,30.0,30.0,1470.0,1470.0,1470.0,154.0,154.0,154.0,517.0,517.0,517.0,2015-08-06 00:00:00,07001,2013-08-13 00:00:00,2013-09-30,194107,559079.0,F,30.448449,-91.147599,Proprietary,Psychiatric,BATON ROUGE BEHAVIORAL HOSPITAL (194107)
