,A7_1_C1_10,A7_1_C1_8,A7_3_C15_1,A7_3_C15_3,A7_3_C9_3,A8_C2_33,A8_C2_50,A_C1_200,A_C1_30,A_C1_5,A_C2_10,A_C2_200,A_C2_30,A_C2_5,A_C2_60,A_C2_9,A_C6_200,A_C6_5,B_1_C0_1,B_1_C0_10,B_1_C0_16,B_1_C0_200,B_1_C0_30,B_1_C0_4,B_1_C0_5,B_1_C0_60,B_1_C0_9,B_1_C26_202,B_1_C26_30,B_1_C26_60,B_2_C26_202,B_2_C26_30,C_1_C3_202,C_1_C6_202,C_1_C6_30,C_1_C6_60,C_1_C8_202,D1_HOS_C1_27,D1_HOS_C1_37,D1_HOS_C1_41,D1_HOS_C1_49,D3_HOS_C2_30,S2_1_C1_1,S2_1_C1_2,S2_1_C1_21,S2_1_C1_27,S2_1_C1_3,S2_1_C2_2,S2_1_C3_2,S2_1_C3_3,S2_1_C4_2,S2_1_C4_3,S2_1_C7_3,S3_1_C10_14,S3_1_C10_27,S3_1_C2_1,S3_1_C2_14,S3_1_C2_27,S3_1_C2_7,S3_1_C3_1,S3_1_C3_14,S3_1_C3_7,S3_1_C6_1,S3_1_C6_14,S3_1_C6_7,S3_1_C8_1,S3_1_C8_14,S3_1_C8_7,FI_CREAT_DT,FI_NUM,FY_BGN_DT,FY_END_DT,PRVDR_NUM,RPT_REC_NUM,UTIL_CODE,Lat,Lon,"Control type, text","Hospital type, text",Num and Name
,Total,Subtotal,New Cap Related Csts Bldg & Fixtures,Total,Total,Other Adjustments (Summed),Total,Total Salaries,Adults and Pediatrics,Administrative and General,Dietary,Total Salaries,Adults and Pediatrics,Administrative and General,Laboratory,Housekeeping,Total Salaries,Administrative and General,New Capital Buildings and Fixtures,Dietary,Medical Records and Medical Rec. Library,Total,Adults and Pediatrics,Employee Benefits,Administrative and General,Laboratory,Housekeeping,Total  ,Adults and Pediatrics,Laboratory,Total  ,Adults & Pediatrics,Total,Total,Adults & Pediatrics,Laboratory,Total,net of Swing Bed Cost,net of Swing Bed and Private Room Diff,Total Program General Inpatient Routine ,Total Program Inpatient Costs,Adults and Pediatrics,Hospital Street Address,Hospital City,Type of Control of Hospital (See Table I),Urban (1) or Rural (2),Hospital Name ,Hospital State,Hospital Zip Code,Provider's actual MSA or CBSA,Hospital County,Hospital Type,Hospital Title 18 Payment System (P/T/O),Total Hospital Interns & Residents,Total Facility FTEs ,Hospital Adults & Pediatrics,Total Hospital,Total Facility,Total,Hospital Adults & Pediatrics,Total Hospital,Total Hospital,Hospital Adults & Pediatrics,Total Hospital,Total Adults & Peds,Hospital Adults & Pediatrics,Total Hospital,Total Adults & Pediatrics,Fiscal Intermediary/MAC Create Date,Fiscal Intermediary Number,Fiscal Year Begin Date ,Fiscal Year End Date ,Hospital Provider Number ,Report Record Number,Utilization Code (L/N/F),Lat,Lon,"Control type, text","Hospital type, text",Num and Name
,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,RECONCILIATION OF CAPITAL COST CENTERS,RECONCILIATION OF CAPITAL COST CENTERS,RECONCILIATION OF CAPITAL COST CENTERS,ADJUSTMENTS,ADJUSTMENTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,ALLOCATION OF NEW CAPITAL COSTS,ALLOCATION OF NEW CAPITAL COSTS,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF INPATIENT OPERATING COSTS,COMPUTATION OF INPATIENT OPERATING COSTS,COMPUTATION OF INPATIENT OPERATING COSTS,COMPUTATION OF INPATIENT OPERATING COSTS,INPATIENT ANCILLARY SERVICE COST APPORTIONMENT,,,,,,,,,,,,Total Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,NUMBER OF BEDS,NUMBER OF BEDS,NUMBER OF BEDS,NUMBER OF BEDS,BED DAYS AVAILABLE,BED DAYS AVAILABLE,BED DAYS AVAILABLE,Medicare Inpatient Days/Outpatient Visits,Medicare Inpatient Days/Outpatient Visits,Medicare Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,Lat,Lon,"Control type, text","Hospital type, text",Num and Name
,Column 1 (Beginning Balances) Total (A7_1_C1_10),Column 1 (Beginning Balances) Subtotal (A7_1_C1_8),Column 15 (Total) New Cap Related Csts Bldg & Fixtures (A7_3_C15_1),Column 15 (Total) Total (A7_3_C15_3),Column 9 (Depreciation) Total (A7_3_C9_3),Other Adjustments (Summed) (A8_C2_33),Total (A8_C2_50),Total Salaries (A_C1_200),Adults and Pediatrics (A_C1_30),Administrative and General (A_C1_5),Dietary (A_C2_10),Total Salaries (A_C2_200),Adults and Pediatrics (A_C2_30),Administrative and General (A_C2_5),Laboratory (A_C2_60),Housekeeping (A_C2_9),Total Salaries (A_C6_200),Administrative and General (A_C6_5),Net Expense for Cost Allocation New Capital Buildings and Fixtures (B_1_C0_1),Net Expense for Cost Allocation Dietary (B_1_C0_10),Net Expense for Cost Allocation Medical Records and Medical Rec. Library (B_1_C0_16),Net Expense for Cost Allocation Total (B_1_C0_200),Net Expense for Cost Allocation Adults and Pediatrics (B_1_C0_30),Net Expense for Cost Allocation Employee Benefits (B_1_C0_4),Net Expense for Cost Allocation Administrative and General (B_1_C0_5),Net Expense for Cost Allocation Laboratory (B_1_C0_60),Net Expense for Cost Allocation Housekeeping (B_1_C0_9),Total   (B_1_C26_202),Adults and Pediatrics (B_1_C26_30),Laboratory (B_1_C26_60),Total   (B_2_C26_202),TOTAL CAPITAL COSTS AFTER COST ALLOCATION Adults & Pediatrics (B_2_C26_30),Total (C_1_C3_202),Total (C_1_C6_202),Total Inpatient Charges Adults & Pediatrics (C_1_C6_30),Total Inpatient Charges Laboratory (C_1_C6_60),Total (C_1_C8_202),General Inpatient Routine Service Cost net of Swing Bed Cost (D1_HOS_C1_27),General Inpatient Routine Service Cost net of Swing Bed and Private Room Diff (D1_HOS_C1_37),Total Program General Inpatient Routine  (D1_HOS_C1_41),Total Program Inpatient Costs (D1_HOS_C1_49),Adults and Pediatrics (D3_HOS_C2_30),Hospital Street Address (S2_1_C1_1),Hospital City (S2_1_C1_2),Type of Control of Hospital (See Table I) (S2_1_C1_21),Urban (1) or Rural (2) (S2_1_C1_27),Hospital Name  (S2_1_C1_3),Hospital State (S2_1_C2_2),Hospital Zip Code (S2_1_C3_2),Provider's actual MSA or CBSA (S2_1_C3_3),Hospital County (S2_1_C4_2),Hospital Type (S2_1_C4_3),Hospital Title 18 Payment System (P/T/O) (S2_1_C7_3),Total Hospital Interns & Residents (S3_1_C10_14),Total Facility FTEs  (S3_1_C10_27),Hospital Adults & Pediatrics (S3_1_C2_1),Total Hospital (S3_1_C2_14),Total Facility (S3_1_C2_27),Total (S3_1_C2_7),Hospital Adults & Pediatrics (S3_1_C3_1),Total Hospital (S3_1_C3_14),Total Hospital (S3_1_C3_7),Hospital Adults & Pediatrics (S3_1_C6_1),Total Hospital (S3_1_C6_14),Total Adults & Peds (S3_1_C6_7),Hospital Adults & Pediatrics (S3_1_C8_1),Total Hospital (S3_1_C8_14),Total Adults & Pediatrics (S3_1_C8_7),Fiscal Intermediary/MAC Create Date (FI_CREAT_DT),Fiscal Intermediary Number (FI_NUM),Fiscal Year Begin Date  (FY_BGN_DT),Fiscal Year End Date  (FY_END_DT),Hospital Provider Number  (PRVDR_NUM),Report Record Number (RPT_REC_NUM),Utilization Code (L/N/F) (UTIL_CODE),Lat,Lon,"Control type, text","Hospital type, text",Num and Name
2060,736224863.0,736224863.0,41414994.0,66563180.0,51538142.0,-99976978.0,-182863588.0,448039531.0,52090881.0,75171568.0,8340034.0,781948177.0,10389456.0,221123455.0,13375118.0,14981466.0,-182863588.0,-31401326.0,41414994.0,9426854.0,15854726.0,1047124120.0,60692646.0,104507434.0,136798665.0,25802924.0,14821893.0,941324130.0,119218896.0,42211587.0,66563180.0,9562715.0,919377302.0,3176021890.0,298615665.0,323986430.0,5472238822.0,121342218.0,121342218.0,17171285.0,68094875.0,42906444.0,80 JESSE HILL JR. DRIVE  SE,ATLANTA,9,1.0,GRADY MEMORIAL HOSPITAL,GA,30303-3050,12060,FULTON,1.0,P,6311.88,6577.33,416.0,659.0,974.0,416.0,151840.0,240535.0,151840.0,20716.0,32115.0,20716.0,143158.0,225285.0,143158.0,2019-05-24 00:00:00,10001,2018-01-01 00:00:00,2018-12-31,110079,648180.0,F,33.752156,-84.382609,Voluntary non-profit - Private,Acute Care Hospitals,GRADY MEMORIAL HOSPITAL (110079)
11694,666678756.0,666678756.0,37712628.0,60499653.0,46816605.0,-86543466.0,-141269263.0,394160738.0,42643079.0,69494484.0,7642959.0,692963422.0,12593067.0,182838875.0,12791985.0,10476531.0,-141269263.0,-23757706.0,37712628.0,8533906.0,15638572.0,945854897.0,57372577.0,91324626.0,122190879.0,24899507.0,10295682.0,843193249.0,106649337.0,40432846.0,60499653.0,8309916.0,824824369.0,2756744297.0,247224658.0,285826244.0,4696448131.0,107968203.0,107968203.0,15948996.0,67093302.0,37151861.0,80 JESSE HILL JR. DRIVE  SE,ATLANTA,9,1.0,GRADY MEMORIAL HOSPITAL,GA,30303-3050,12060,FULTON,1.0,P,5540.42,5789.88,413.0,646.0,961.0,413.0,150745.0,235790.0,150745.0,19464.0,30420.0,19464.0,128639.0,203044.0,128639.0,2019-12-18 00:00:00,10001,2017-01-01 00:00:00,2017-12-31,110079,661710.0,F,33.752156,-84.382609,Voluntary non-profit - Private,Acute Care Hospitals,GRADY MEMORIAL HOSPITAL (110079)
15365,571093598.0,571093598.0,20647413.0,54874229.0,41824146.0,-74095081.0,-121791897.0,354725635.0,34681954.0,65361390.0,6876490.0,624485359.0,9049639.0,162844775.0,11756263.0,9349816.0,-121791897.0,-24873864.0,20647413.0,7602632.0,13137373.0,857419097.0,44368101.0,82525950.0,112248666.0,23728015.0,9235802.0,760065141.0,85678146.0,38450523.0,54874229.0,7372191.0,741855583.0,2469134036.0,223055121.0,229663914.0,4180156728.0,87119873.0,87119873.0,13019918.0,63638083.0,32615442.0,80 JESSE HILL JR. DRIVE  SE,ATLANTA,9,1.0,GRADY MEMORIAL HOSPITAL,GA,30303-3050,12060,FULTON,1.0,P,5160.17,5393.48,393.0,642.0,957.0,393.0,143838.0,234972.0,143838.0,17198.0,29615.0,17198.0,111341.0,185874.0,111341.0,2018-06-18 00:00:00,10001,2016-01-01 00:00:00,2016-12-31,110079,636043.0,F,33.752156,-84.382609,Voluntary non-profit - Private,Acute Care Hospitals,GRADY MEMORIAL HOSPITAL (110079)
24482,536344320.0,536344320.0,22360678.0,56883198.0,43627001.0,-44542477.0,-81788714.0,333502023.0,35765042.0,57628783.0,6477295.0,560790802.0,5258571.0,149582375.0,10998143.0,9281996.0,-81788714.0,115673.0,22360678.0,7196562.0,12357451.0,812504111.0,41185627.0,75479250.0,120148301.0,21906141.0,9151963.0,711167540.0,86574015.0,36109759.0,56883198.0,9243020.0,692345736.0,2236732479.0,205408866.0,187488963.0,3807822224.0,87641023.0,87641023.0,13168815.0,57553107.0,31732746.0,80 JESSE HILL JR. DRIVE  SE,ATLANTA,9,1.0,GRADY MEMORIAL HOSPITAL,GA,30303-3050,12060,FULTON,1.0,P,5024.61,5255.39,381.0,639.0,922.0,381.0,139065.0,233235.0,139065.0,16512.0,28221.0,16512.0,105218.0,180644.0,105218.0,2019-03-13 00:00:00,10001,2015-01-01 00:00:00,2015-12-31,110079,644456.0,F,33.752156,-84.382609,Voluntary non-profit - Private,Acute Care Hospitals,GRADY MEMORIAL HOSPITAL (110079)
28925,506323067.0,506323067.0,19469272.0,58184025.0,46247836.0,-48253702.0,-73222085.0,308938685.0,32346391.0,54466481.0,6027533.0,510764764.0,6541789.0,137208731.0,10149695.0,10042171.0,-73222085.0,-7699945.0,19469272.0,6778701.0,12410302.0,746481364.0,40238553.0,77185641.0,95836029.0,20790580.0,9928213.0,651154305.0,83789751.0,34506398.0,58184025.0,9606335.0,634438640.0,1914881549.0,185905613.0,167886183.0,3285639748.0,85217529.0,85217529.0,12064993.0,53492022.0,27476791.0,80 JESSE HILL JR. DRIVE  SE,ATLANTA,9,1.0,GRADY MEMORIAL HOSPITAL,GA,30303-3050,12060,FULTON,1.0,P,5068.25,5276.71,362.0,615.0,892.0,362.0,132130.0,224475.0,132130.0,14676.0,26553.0,14676.0,98051.0,169532.0,98051.0,2018-01-19 00:00:00,10001,2014-01-01 00:00:00,2014-12-31,110079,614410.0,F,33.752156,-84.382609,Voluntary non-profit - Private,Acute Care Hospitals,GRADY MEMORIAL HOSPITAL (110079)
34486,453551034.0,453551034.0,22839800.0,59199866.0,49330708.0,-11844893.0,-66645926.0,293436533.0,29989018.0,49263778.0,5825423.0,471422611.0,5717251.0,141243828.0,9365576.0,9938326.0,-66645926.0,18386294.0,22839800.0,6468864.0,10753956.0,698213218.0,34489490.0,66070327.0,95980938.0,18000825.0,9823227.0,612282638.0,73718346.0,30555995.0,59199866.0,8756090.0,556548736.0,1457819336.0,151988690.0,113763259.0,2405791522.0,73820891.0,73820891.0,11329587.0,50762155.0,25062150.0,80 JESSE HILL JR. DRIVE  SE,ATLANTA,9,1.0,GRADY MEMORIAL HOSPITAL,GA,30303-3050,12060,FULTON,1.0,P,4953.7,5161.35,375.0,638.0,915.0,375.0,136875.0,232870.0,136875.0,15348.0,26630.0,15348.0,95722.0,163522.0,95722.0,2016-03-24 00:00:00,10001,2013-01-01 00:00:00,2013-12-31,110079,572922.0,F,33.752156,-84.382609,Voluntary non-profit - Private,Acute Care Hospitals,GRADY MEMORIAL HOSPITAL (110079)
44166,421354727.0,421354727.0,26256545.0,61416161.0,48218637.0,-31649055.0,-61444744.0,280227259.0,27516670.0,50041788.0,5711390.0,459278822.0,4051642.0,125446725.0,8633521.0,9200450.0,-61444744.0,-14165632.0,26256545.0,6197273.0,11646793.0,678061337.0,29010220.0,66884381.0,111285950.0,16652706.0,9199927.0,604525592.0,72529046.0,30157022.0,61416161.0,11264269.0,549287792.0,1402121354.0,141755173.0,111664948.0,2276546844.0,72545199.0,72545199.0,12183042.0,55267437.0,25151523.0,80 JESSE HILL JR. DRIVE  SE,ATLANTA,9,1.0,GRADY MEMORIAL HOSPITAL,GA,30303-3050,12060,FULTON,1.0,P,4859.89,5088.34,384.0,621.0,910.0,384.0,140544.0,227286.0,140544.0,16413.0,28792.0,16413.0,94479.0,159047.0,94479.0,2019-04-10 00:00:00,10001,2012-01-01 00:00:00,2012-12-31,110079,646289.0,F,33.752156,-84.382609,Voluntary non-profit - Private,Acute Care Hospitals,GRADY MEMORIAL HOSPITAL (110079)
