,A7_1_C1_10,A7_1_C1_8,A7_3_C15_1,A7_3_C15_3,A7_3_C9_3,A8_C2_33,A8_C2_50,A_C1_200,A_C1_30,A_C1_5,A_C2_10,A_C2_200,A_C2_30,A_C2_5,A_C2_60,A_C2_9,A_C6_200,A_C6_5,B_1_C0_1,B_1_C0_10,B_1_C0_16,B_1_C0_200,B_1_C0_30,B_1_C0_4,B_1_C0_5,B_1_C0_60,B_1_C0_9,B_1_C26_202,B_1_C26_30,B_1_C26_60,B_2_C26_202,B_2_C26_30,C_1_C3_202,C_1_C6_202,C_1_C6_30,C_1_C6_60,C_1_C8_202,D1_HOS_C1_27,D1_HOS_C1_37,D1_HOS_C1_41,D1_HOS_C1_49,D3_HOS_C2_30,S2_1_C1_1,S2_1_C1_2,S2_1_C1_21,S2_1_C1_27,S2_1_C1_3,S2_1_C2_2,S2_1_C3_2,S2_1_C3_3,S2_1_C4_2,S2_1_C4_3,S2_1_C7_3,S3_1_C10_14,S3_1_C10_27,S3_1_C2_1,S3_1_C2_14,S3_1_C2_27,S3_1_C2_7,S3_1_C3_1,S3_1_C3_14,S3_1_C3_7,S3_1_C6_1,S3_1_C6_14,S3_1_C6_7,S3_1_C8_1,S3_1_C8_14,S3_1_C8_7,FI_CREAT_DT,FI_NUM,FY_BGN_DT,FY_END_DT,PRVDR_NUM,RPT_REC_NUM,UTIL_CODE,Lat,Lon,"Control type, text","Hospital type, text",Num and Name
,Total,Subtotal,New Cap Related Csts Bldg & Fixtures,Total,Total,Other Adjustments (Summed),Total,Total Salaries,Adults and Pediatrics,Administrative and General,Dietary,Total Salaries,Adults and Pediatrics,Administrative and General,Laboratory,Housekeeping,Total Salaries,Administrative and General,New Capital Buildings and Fixtures,Dietary,Medical Records and Medical Rec. Library,Total,Adults and Pediatrics,Employee Benefits,Administrative and General,Laboratory,Housekeeping,Total  ,Adults and Pediatrics,Laboratory,Total  ,Adults & Pediatrics,Total,Total,Adults & Pediatrics,Laboratory,Total,net of Swing Bed Cost,net of Swing Bed and Private Room Diff,Total Program General Inpatient Routine ,Total Program Inpatient Costs,Adults and Pediatrics,Hospital Street Address,Hospital City,Type of Control of Hospital (See Table I),Urban (1) or Rural (2),Hospital Name ,Hospital State,Hospital Zip Code,Provider's actual MSA or CBSA,Hospital County,Hospital Type,Hospital Title 18 Payment System (P/T/O),Total Hospital Interns & Residents,Total Facility FTEs ,Hospital Adults & Pediatrics,Total Hospital,Total Facility,Total,Hospital Adults & Pediatrics,Total Hospital,Total Hospital,Hospital Adults & Pediatrics,Total Hospital,Total Adults & Peds,Hospital Adults & Pediatrics,Total Hospital,Total Adults & Pediatrics,Fiscal Intermediary/MAC Create Date,Fiscal Intermediary Number,Fiscal Year Begin Date ,Fiscal Year End Date ,Hospital Provider Number ,Report Record Number,Utilization Code (L/N/F),Lat,Lon,"Control type, text","Hospital type, text",Num and Name
,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,RECONCILIATION OF CAPITAL COST CENTERS,RECONCILIATION OF CAPITAL COST CENTERS,RECONCILIATION OF CAPITAL COST CENTERS,ADJUSTMENTS,ADJUSTMENTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,TRIAL BALANCE OF EXPENSE ACCOUNTS,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,COST ALLOCATION,ALLOCATION OF NEW CAPITAL COSTS,ALLOCATION OF NEW CAPITAL COSTS,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF RATIO OF COST TO CHARGES,COMPUTATION OF INPATIENT OPERATING COSTS,COMPUTATION OF INPATIENT OPERATING COSTS,COMPUTATION OF INPATIENT OPERATING COSTS,COMPUTATION OF INPATIENT OPERATING COSTS,INPATIENT ANCILLARY SERVICE COST APPORTIONMENT,,,,,,,,,,,,Total Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,NUMBER OF BEDS,NUMBER OF BEDS,NUMBER OF BEDS,NUMBER OF BEDS,BED DAYS AVAILABLE,BED DAYS AVAILABLE,BED DAYS AVAILABLE,Medicare Inpatient Days/Outpatient Visits,Medicare Inpatient Days/Outpatient Visits,Medicare Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,Total Inpatient Days/Outpatient Visits,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,HOSPITAL IDENTIFICATION INFORMATION,Lat,Lon,"Control type, text","Hospital type, text",Num and Name
,Column 1 (Beginning Balances) Total (A7_1_C1_10),Column 1 (Beginning Balances) Subtotal (A7_1_C1_8),Column 15 (Total) New Cap Related Csts Bldg & Fixtures (A7_3_C15_1),Column 15 (Total) Total (A7_3_C15_3),Column 9 (Depreciation) Total (A7_3_C9_3),Other Adjustments (Summed) (A8_C2_33),Total (A8_C2_50),Total Salaries (A_C1_200),Adults and Pediatrics (A_C1_30),Administrative and General (A_C1_5),Dietary (A_C2_10),Total Salaries (A_C2_200),Adults and Pediatrics (A_C2_30),Administrative and General (A_C2_5),Laboratory (A_C2_60),Housekeeping (A_C2_9),Total Salaries (A_C6_200),Administrative and General (A_C6_5),Net Expense for Cost Allocation New Capital Buildings and Fixtures (B_1_C0_1),Net Expense for Cost Allocation Dietary (B_1_C0_10),Net Expense for Cost Allocation Medical Records and Medical Rec. Library (B_1_C0_16),Net Expense for Cost Allocation Total (B_1_C0_200),Net Expense for Cost Allocation Adults and Pediatrics (B_1_C0_30),Net Expense for Cost Allocation Employee Benefits (B_1_C0_4),Net Expense for Cost Allocation Administrative and General (B_1_C0_5),Net Expense for Cost Allocation Laboratory (B_1_C0_60),Net Expense for Cost Allocation Housekeeping (B_1_C0_9),Total   (B_1_C26_202),Adults and Pediatrics (B_1_C26_30),Laboratory (B_1_C26_60),Total   (B_2_C26_202),TOTAL CAPITAL COSTS AFTER COST ALLOCATION Adults & Pediatrics (B_2_C26_30),Total (C_1_C3_202),Total (C_1_C6_202),Total Inpatient Charges Adults & Pediatrics (C_1_C6_30),Total Inpatient Charges Laboratory (C_1_C6_60),Total (C_1_C8_202),General Inpatient Routine Service Cost net of Swing Bed Cost (D1_HOS_C1_27),General Inpatient Routine Service Cost net of Swing Bed and Private Room Diff (D1_HOS_C1_37),Total Program General Inpatient Routine  (D1_HOS_C1_41),Total Program Inpatient Costs (D1_HOS_C1_49),Adults and Pediatrics (D3_HOS_C2_30),Hospital Street Address (S2_1_C1_1),Hospital City (S2_1_C1_2),Type of Control of Hospital (See Table I) (S2_1_C1_21),Urban (1) or Rural (2) (S2_1_C1_27),Hospital Name  (S2_1_C1_3),Hospital State (S2_1_C2_2),Hospital Zip Code (S2_1_C3_2),Provider's actual MSA or CBSA (S2_1_C3_3),Hospital County (S2_1_C4_2),Hospital Type (S2_1_C4_3),Hospital Title 18 Payment System (P/T/O) (S2_1_C7_3),Total Hospital Interns & Residents (S3_1_C10_14),Total Facility FTEs  (S3_1_C10_27),Hospital Adults & Pediatrics (S3_1_C2_1),Total Hospital (S3_1_C2_14),Total Facility (S3_1_C2_27),Total (S3_1_C2_7),Hospital Adults & Pediatrics (S3_1_C3_1),Total Hospital (S3_1_C3_14),Total Hospital (S3_1_C3_7),Hospital Adults & Pediatrics (S3_1_C6_1),Total Hospital (S3_1_C6_14),Total Adults & Peds (S3_1_C6_7),Hospital Adults & Pediatrics (S3_1_C8_1),Total Hospital (S3_1_C8_14),Total Adults & Pediatrics (S3_1_C8_7),Fiscal Intermediary/MAC Create Date (FI_CREAT_DT),Fiscal Intermediary Number (FI_NUM),Fiscal Year Begin Date  (FY_BGN_DT),Fiscal Year End Date  (FY_END_DT),Hospital Provider Number  (PRVDR_NUM),Report Record Number (RPT_REC_NUM),Utilization Code (L/N/F) (UTIL_CODE),Lat,Lon,"Control type, text","Hospital type, text",Num and Name
5785,111298127.0,111298127.0,737352.0,8177146.0,8079598.0,-1693894.0,-8780632.0,50157277.0,13249149.0,2834922.0,1175944.0,72058824.0,2122048.0,21024637.0,2834870.0,717558.0,-8780632.0,-926287.0,737352.0,1346379.0,1552502.0,113435469.0,15048553.0,15425288.0,21718122.0,4188021.0,1791231.0,113435469.0,33693017.0,7110925.0,8177146.0,1375337.0,113218086.0,339767838.0,83332345.0,38347286.0,555229771.0,33693017.0,33693017.0,8363303.0,21900082.0,18851075.0,2701 WEST 68TH STREET,CHICAGO,1,1.0,HOLY CROSS HOSPITAL,IL,60629,16974,COOK,1.0,P,774.0,774.0,201.0,221.0,221.0,201.0,73365.0,80665.0,73365.0,9668.0,11184.0,9668.0,35441.0,40568.0,35441.0,2019-12-17 00:00:00,06101,2018-07-01 00:00:00,2019-06-30,140133,661496.0,F,41.770008,-87.691909,Voluntary non-profit - Private,Acute Care Hospitals,HOLY CROSS HOSPITAL (140133)
11563,129173015.0,129173015.0,3633744.0,8906235.0,8827959.0,-2105511.0,-7834797.0,54273085.0,14609798.0,3856953.0,1220483.0,75701383.0,2341836.0,25212427.0,3317811.0,786145.0,-7834797.0,-842571.0,3633744.0,1323489.0,1347300.0,122139671.0,16305832.0,12202663.0,27284683.0,4792932.0,1852932.0,122139671.0,36312371.0,8070850.0,8906235.0,1962514.0,121850075.0,360122070.0,84571716.0,37381936.0,599220617.0,36312371.0,36312371.0,9266044.0,25421587.0,26448907.0,2701 WEST 68TH STREET,CHICAGO,1,1.0,HOLY CROSS HOSPITAL,IL,60629,16974,COOK,1.0,P,855.5,859.0,199.0,219.0,225.0,199.0,72635.0,79935.0,72635.0,11204.0,12755.0,11204.0,38945.0,44324.0,38945.0,2019-12-17 00:00:00,06101,2017-07-01 00:00:00,2018-06-30,140133,661161.0,F,41.770008,-87.691909,Voluntary non-profit - Private,Acute Care Hospitals,HOLY CROSS HOSPITAL (140133)
17112,114711177.0,114711177.0,3483094.0,8704594.0,8599224.0,-2310496.0,-7489200.0,54698226.0,13621139.0,3807727.0,1283199.0,71646508.0,2290697.0,19682191.0,3242139.0,810127.0,-7489200.0,-788214.0,3483094.0,1317307.0,2420394.0,118855534.0,14974821.0,10623272.0,22748009.0,4731776.0,1898111.0,118855534.0,32189709.0,7827636.0,8704594.0,1826409.0,118578461.0,356301183.0,74235689.0,38982814.0,603729136.0,32189709.0,32189709.0,9069771.0,27049279.0,26913461.0,2701 WEST 68TH STREET,CHICAGO,1,1.0,HOLY CROSS HOSPITAL,IL,60629,16974,COOK,1.0,P,861.24,880.0,196.0,216.0,250.0,196.0,67722.0,75022.0,67722.0,11688.0,13674.0,11688.0,35194.0,40525.0,35194.0,2019-03-29 00:00:00,06101,2016-07-01 00:00:00,2017-06-30,140133,645894.0,F,41.770008,-87.691909,Voluntary non-profit - Private,Acute Care Hospitals,HOLY CROSS HOSPITAL (140133)
23247,113383533.0,113383533.0,4445573.0,9007180.0,8652978.0,-2991367.0,-8429007.0,53926021.0,12869598.0,4433611.0,1381886.0,67286482.0,2596901.0,15874521.0,3073468.0,763194.0,-8429007.0,-602983.0,4445573.0,1366872.0,1869470.0,112783496.0,14015468.0,10589993.0,19919308.0,4918714.0,1797537.0,112783496.0,29676451.0,7930711.0,9007180.0,2003066.0,112505269.0,336639811.0,65502116.0,36828307.0,575211538.0,29689287.0,29689287.0,8817085.0,26809543.0,25338681.0,2701 WEST 68TH STREET,CHICAGO,1,1.0,HOLY CROSS HOSPITAL,IL,60629,16974,COOK,1.0,P,843.0,867.0,171.0,192.0,226.0,171.0,62586.0,70272.0,62586.0,11396.0,13595.0,11396.0,32105.0,37904.0,32105.0,2018-08-17 00:00:00,06101,2015-07-01 00:00:00,2016-06-30,140133,631520.0,F,41.770008,-87.691909,Voluntary non-profit - Private,Acute Care Hospitals,HOLY CROSS HOSPITAL (140133)
30347,109771889.0,109771889.0,3446964.0,7494431.0,7458424.0,-4136803.0,-10121535.0,49657014.0,12729454.0,3681166.0,1188791.0,65441510.0,3372044.0,13153521.0,2697184.0,478882.0,-10121535.0,-1229730.0,3446964.0,1205280.0,2141115.0,104976989.0,14309506.0,10043017.0,15581738.0,4481137.0,1506098.0,104976989.0,27568852.0,7061020.0,7494431.0,1628540.0,104706019.0,319970862.0,68131487.0,34311015.0,515272779.0,27640209.0,27640209.0,8881637.0,26811283.0,30384345.0,2701 WEST 68TH STREET,CHICAGO,1,1.0,HOLY CROSS HOSPITAL,IL,60629,16974,COOK,1.0,P,787.0,813.0,181.0,203.0,239.0,181.0,66065.0,74095.0,66065.0,12189.0,14366.0,12189.0,32835.0,38355.0,32835.0,2018-04-23 00:00:00,06101,2014-07-01 00:00:00,2015-06-30,140133,624949.0,F,41.770008,-87.691909,Voluntary non-profit - Private,Acute Care Hospitals,HOLY CROSS HOSPITAL (140133)
37103,106500827.0,106500827.0,1663573.0,7531066.0,7497409.0,-3586487.0,-7384372.0,44472080.0,10306497.0,3053333.0,1125993.0,65791635.0,3261841.0,17860586.0,3184358.0,517080.0,-7384372.0,-914433.0,1663573.0,779650.0,2251783.0,102879343.0,12251905.0,6980037.0,19878147.0,4963849.0,1613368.0,102879343.0,24735155.0,7915593.0,7531066.0,1320766.0,102631513.0,275364982.0,61606193.0,29113200.0,456044430.0,24735155.0,24735155.0,9448453.0,29274812.0,26419979.0,2701 WEST 68TH STREET,CHICAGO,1,1.0,HOLY CROSS HOSPITAL,IL,60629,16974,COOK,1.0,P,752.17,777.0,185.0,206.0,241.0,185.0,67525.0,75190.0,67525.0,13245.0,15740.0,13245.0,30136.0,36211.0,30136.0,2017-12-27 00:00:00,06101,2013-07-01 00:00:00,2014-06-30,140133,611747.0,F,41.770008,-87.691909,Voluntary non-profit - Private,Acute Care Hospitals,HOLY CROSS HOSPITAL (140133)
40420,132210105.0,132210105.0,2288321.0,5279152.0,5142097.0,-1991999.0,-6439572.0,46239530.0,8549769.0,5608451.0,1040208.0,59418775.0,2342905.0,16584321.0,2696574.0,612059.0,-6439572.0,-2181223.0,2288321.0,814328.0,2495931.0,99218733.0,10970618.0,5310598.0,21790370.0,4493834.0,1544823.0,99218733.0,21816525.0,7895780.0,5279152.0,1041229.0,96951970.0,246970601.0,41148644.0,47094217.0,390468274.0,21816525.0,21816525.0,8701624.0,27435685.0,18970543.0,2701 WEST 68TH STREET,CHICAGO,1,1.0,HOLY CROSS HOSPITAL,IL,60629,16974,COOK,1.0,P,729.81,754.47,210.0,230.0,264.0,210.0,76650.0,83950.0,76650.0,12516.0,15324.0,12516.0,27703.0,34242.0,27703.0,2015-03-27 00:00:00,06101,2012-07-01 00:00:00,2013-06-30,140133,552335.0,F,41.770008,-87.691909,Voluntary non-profit - Private,Acute Care Hospitals,HOLY CROSS HOSPITAL (140133)
