HOSP10 RECORD COUNTS BY YEAR FOR THE QUARTER ENDING 2022-06-30 [HOSP10.HOSP10]                                                      
FY,       RPT count,  ALPHA count,    NMRC count,     ROLLUP count                                                                  
2010 ,         2323,      1353896,      7417669,       765014                                                                       
2011 ,         6150,      3548447,     19394348,      2065098                                                                       
2012 ,         6227,      3611512,     19744074,      2092881                                                                       
2013 ,         6248,      3683520,     20004847,      2147900                                                                       
2014 ,         6250,      3701273,     20045143,      2305379                                                                       
2015 ,         6257,      3711777,     20015628,      2320382                                                                       
2016 ,         6211,      3724269,     19896757,      2148412                                                                       
2017 ,         6173,      3718206,     19913010,      3073202                                                                       
2018 ,         6159,      3708180,     19697988,      5608516                                                                       
2019 ,         6118,      3711928,     19853855,      5584379                                                                       
2020 ,         6050,      3665301,     19565356,      2115907                                                                       
2021 ,         2597,      1555078,      8284528,       834892                                                                       
2022 ,            5,         2134,         9698,         1039                                                                       
TOTAL,        66768,     39695521,    213842901,     31063001                                                                       
